"lb_nom_abg","cd_poul","GS1","GS2","id","nom","prenom","numero_licence","ordre","libelle","distance_km","indemnite","couple","lb_catc","presence"
"FCHAU20M","A","PDL0049006 - CLUB 6 - ","PDL0049077 - CLUB 77 - ","ID 33","NOM 32","Prénom 32","LIC 33",2,"Arbitre","(66,00Km)","74.16","NON","U20","P"
"FCHAU20M","A","PDL0049006 - CLUB 6 - ","PDL0049077 - CLUB 77 - ","ID 26","NOM 25","Prénom 26","LIC 26",1,"Arbitre","(3,00Km)","26.28","NON","U20","P"
"DFU9-3-P2-P2","D3A","PDL0049006 - CLUB 6 - 2","PDL0049036 - CLUB 36 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU9-3-P2","D3A","PDL0049006 - CLUB 6 - 2","PDL0049048 - CLUB 48 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU9-4","D4A","PDL0049006 - CLUB 6 - 2","PDL0049057 - CLUB 57 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"TQRU18F","A","PDL0049007 - CLUB 7 - ","PDL0049022 - CLUB 22 - ","ID 34","NOM 33","Prénom 33","LIC 34",1,"Chronometreur","","","NON","U18","P"
"TQRU18F","A","PDL0049007 - CLUB 7 - ","PDL0049022 - CLUB 22 - ","ID 35","NOM 34","Prénom 34","LIC 35",1,"Délégué de club","","","NON","U18","P"
"TQRU18F","A","PDL0049007 - CLUB 7 - ","PDL0049022 - CLUB 22 - ","ID 11","NOM 11","Prénom 11","LIC 11",1,"Arbitre","(14,00Km)","25.08","NON","U18","P"
"TQRU18F","A","PDL0049007 - CLUB 7 - ","PDL0049022 - CLUB 22 - ","ID 36","NOM 35","Prénom 35","LIC 36",1,"Marqueur","","","NON","U18","P"
"TQRU18F","A","PDL0049007 - CLUB 7 - ","PDL0049022 - CLUB 22 - ","ID 37","NOM 36","Prénom 36","LIC 37",2,"Arbitre","(58,00Km)","56.76","NON","U18","P"
"DMU9-2-P2-P2","D2A","PDL0049007 - CLUB 7 - 1","PDL0049063 - CLUB 63 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"FCHAU18F","A","PDL0049007 - CLUB 7 - 2","PDL0049072 - CLUB 72 - ","ID 38","NOM 37","Prénom 37","LIC 38",1,"Arbitre","(12,00Km)","33.12","NON","U18","P"
"FCHAU18F","A","PDL0049007 - CLUB 7 - 2","PDL0049072 - CLUB 72 - ","ID 39","NOM 38","Prénom 38","LIC 39",2,"Arbitre","(47,00Km)","59.72","NON","U18","P"
"BU17M","A","PDL0049008 - CLUB 8 - ","PDL0049050 - CLUB 50 - ","ID 40","NOM 39","Prénom 26","LIC 40",2,"Arbitre","(13,00Km)","24.36","NON","U17","P"
"BU17M","A","PDL0049008 - CLUB 8 - ","PDL0049050 - CLUB 50 - ","ID 41","NOM 40","Prénom 39","LIC 41",3,"Arbitre","(50,00Km)","51","NON","U17","R"
"BU17M","A","PDL0049008 - CLUB 8 - ","PDL0049050 - CLUB 50 - ","ID 27","NOM 26","Prénom 27","LIC 27",1,"Arbitre","(24,00Km)","32.28","NON","U17","P"
"BU17M","A","PDL0049008 - CLUB 8 - ","PDL0049050 - CLUB 50 - ","ID 42","NOM 41","Prénom 40","LIC 42",1,"Aide marqueur","","","NON","U17","P"
"1-4CAU17M","A","PDL0049008 - CLUB 8 - 2","PDL0049015 - CLUB 15 - ","ID 43","NOM 42","Prénom 41","LIC 43",1,"Chronometreur","","","NON","U17","P"
"1-4CAU17M","A","PDL0049008 - CLUB 8 - 2","PDL0049015 - CLUB 15 - ","ID 44","NOM 43","Prénom 42","LIC 44",1,"Délégué de club","","","NON","U17","P"
"1-4CAU17M","A","PDL0049008 - CLUB 8 - 2","PDL0049015 - CLUB 15 - ","ID 45","NOM 44","Prénom 43","LIC 45",1,"Arbitre","","","NON","U17","P"
"1-4CAU17M","A","PDL0049008 - CLUB 8 - 2","PDL0049015 - CLUB 15 - ","ID 46","NOM 45","Prénom 44","LIC 46",2,"Arbitre","","","NON","U17","P"
"1-4CAU17M","A","PDL0049008 - CLUB 8 - 2","PDL0049015 - CLUB 15 - ","ID 47","NOM 46","Prénom 45","LIC 47",1,"Marqueur","","","NON","U17","P"
"DFU18-2-P2","D2A","PDL0049008 - CLUB 8 - 2","PDL0049036 - CLUB 36 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"1/32COUPU17M","A","PDL0049009 - CLUB 9 - ","PDL0049090 - CLUB 90 - ","ID 48","NOM 47","Prénom 46","LIC 48",1,"Délégué de club","","","NON","U17","P"
"1/32COUPU17M","A","PDL0049009 - CLUB 9 - ","PDL0049090 - CLUB 90 - ","ID 49","NOM 48","Prénom 47","LIC 49",2,"Arbitre","","","NON","U17","P"
"1/32COUPU17M","A","PDL0049009 - CLUB 9 - ","PDL0049090 - CLUB 90 - ","ID 50","NOM 49","Prénom 48","LIC 50",1,"Arbitre","","","NON","U17","P"
"DMU17-2-P2","D2A","PDL0049010 - CLUB 10 - 1","PDL0049029 - CLUB 29 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"DM3-P2","DM3BA","PDL0049010 - CLUB 10 - 2","PDL0049032 - CLUB 32 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU18-P2-P2","D1A","PDL0049011 - CLUB 11 - 1","PDL0049022 - CLUB 22 - ","ID 51","NOM 50","Prénom 49","LIC 51",2,"Arbitre","(11,00Km)","32.36","NON","U18","P"
"DFU18-P2-P2","D1A","PDL0049011 - CLUB 11 - 1","PDL0049022 - CLUB 22 - ","ID 52","NOM 51","Prénom 50","LIC 52",1,"Marqueur","","","NON","U18","P"
"DFU18-P2-P2","D1A","PDL0049011 - CLUB 11 - 1","PDL0049022 - CLUB 22 - ","ID 53","NOM 52","Prénom 51","LIC 53",1,"Arbitre","(18,00Km)","37.68","NON","U18","P"
"1-4CAU18F","A","PDL0049011 - CLUB 11 - 1","PDL0049064 - CLUB 64 - ","ID 54","NOM 53","Prénom 52","LIC 54",1,"Délégué de club","","","NON","U18","P"
"1-4CAU18F","A","PDL0049011 - CLUB 11 - 1","PDL0049064 - CLUB 64 - ","ID 55","NOM 54","Prénom 53","LIC 55",2,"Arbitre","","","NON","U18","P"
"1-4CAU18F","A","PDL0049011 - CLUB 11 - 1","PDL0049064 - CLUB 64 - ","ID 56","NOM 55","Prénom 54","LIC 56",1,"Marqueur","","","NON","U18","P"
"1-4CAU18F","A","PDL0049011 - CLUB 11 - 1","PDL0049064 - CLUB 64 - ","ID 52","NOM 51","Prénom 50","LIC 52",1,"Aide marqueur","","","NON","U18","P"
"1-4CAU18F","A","PDL0049011 - CLUB 11 - 1","PDL0049064 - CLUB 64 - ","ID 57","NOM 56","Prénom 55","LIC 57",1,"Arbitre","","","NON","U18","P"
"4CHAM","A","PDL0049011 - CLUB 11 - 3","PDL0049054 - CLUB 54 - 4","ID 58","NOM 57","Prénom 56","LIC 58",3,"Arbitre","(66,00Km)","80.16","NON","Seniors","A"
"4CHAM","A","PDL0049011 - CLUB 11 - 3","PDL0049054 - CLUB 54 - 4","ID 59","NOM 58","Prénom 57","LIC 59",2,"Arbitre","(11,00Km)","38.36","NON","Seniors","P"
"4CHAM","A","PDL0049011 - CLUB 11 - 3","PDL0049054 - CLUB 54 - 4","ID 60","NOM 59","Prénom 58","LIC 60",1,"Arbitre","(55,00Km)","71.8","NON","Seniors","P"
"DFU15-P2","D1A","PDL0049012 - CLUB 12 - 1","PDL0049052 - CLUB 52 - 1","ID 61","NOM 60","Prénom 59","LIC 61",1,"Marqueur","","","NON","U15","P"
"FCAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049015 - CLUB 15 - ","ID 62","NOM 61","Prénom 60","LIC 62",3,"Arbitre","(24,00Km)","42.24","NON","U17","A"
"FCAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049015 - CLUB 15 - ","ID 63","NOM 62","Prénom 61","LIC 63",1,"Arbitre","(68,00Km)","75.68","NON","U17","P"
"FCAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049015 - CLUB 15 - ","ID 64","NOM 63","Prénom 62","LIC 64",2,"Arbitre","(83,00Km)","87.08","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 65","NOM 64","Prénom 63","LIC 65",1,"Délégué de club","","","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 66","NOM 65","Prénom 64","LIC 66",1,"Chronometreur","","","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 41","NOM 40","Prénom 39","LIC 41",1,"Arbitre","(22,00Km)","40.72","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 67","NOM 66","Prénom 65","LIC 67",1,"Aide marqueur","","","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 68","NOM 67","Prénom 66","LIC 68",1,"Marqueur","","","NON","U17","P"
"1/2CAU17M","A","PDL0049013 - CLUB 13 - ","PDL0049018 - CLUB 18 - ","ID 69","NOM 68","Prénom 67","LIC 69",2,"Arbitre","(63,00Km)","71.88","NON","U17","P"
"DMU17-P2-P2","D1A","PDL0049013 - CLUB 13 - ","PDL0049024 - CLUB 24 - 1","ID 51","NOM 50","Prénom 49","LIC 51",1,"Arbitre","(28,00Km)","45.28","NON","U17","P"
"DMU17-P2-P2","D1A","PDL0049013 - CLUB 13 - ","PDL0049024 - CLUB 24 - 1","ID 70","NOM 50","Prénom 68","LIC 70",3,"Arbitre","(28,00Km)","45.28","NON","U17","A"
"DMU17-P2-P2","D1A","PDL0049013 - CLUB 13 - ","PDL0049024 - CLUB 24 - 1","ID 71","NOM 69","Prénom 69","LIC 71",2,"Arbitre","(13,00Km)","33.88","NON","U17","P"
"DMU17-P2","D1A","PDL0049013 - CLUB 13 - ","PDL0049036 - CLUB 36 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"16CAM","A","PDL0049013 - CLUB 13 - 1","PDL0049043 - CLUB 43 - 1","ID 62","NOM 61","Prénom 60","LIC 62",1,"Arbitre","(26,00Km)","49.76","NON","Seniors","P"
"16CAM","A","PDL0049013 - CLUB 13 - 1","PDL0049043 - CLUB 43 - 1","ID 72","NOM 70","Prénom 53","LIC 72",2,"Arbitre","(25,00Km)","49","NON","Seniors","P"
"DMU20","D1A","PDL0049014 - CLUB 14 - 1","PDL0049003 - CLUB 3 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U20",""
"DM2","DM 2A","PDL0049014 - CLUB 14 - 1","PDL0049013 - CLUB 13 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU20-P2-P2","D1A","PDL0049014 - CLUB 14 - 1","PDL0049065 - CLUB 65 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U20",""
"TQRU17MPA","A","PDL0049015 - CLUB 15 - ","PDL0049041 - CLUB 41 - ","ID 73","NOM 71","Prénom 70","LIC 73",1,"Marqueur","","","NON","U17","P"
"TQRU17MPA","A","PDL0049015 - CLUB 15 - ","PDL0049041 - CLUB 41 - ","ID 74","NOM 72","Prénom 71","LIC 74",2,"Arbitre","(42,00Km)","45.24","NON","U17","P"
"TQRU17MPA","A","PDL0049015 - CLUB 15 - ","PDL0049041 - CLUB 41 - ","ID 75","NOM 73","Prénom 72","LIC 75",1,"Délégué de club","","","NON","U17","P"
"TQRU17MPA","A","PDL0049015 - CLUB 15 - ","PDL0049041 - CLUB 41 - ","ID 76","NOM 74","Prénom 73","LIC 76",1,"Arbitre","(16,00Km)","26.52","NON","U17","P"
"TQRU17MPA","A","PDL0049015 - CLUB 15 - ","PDL0049041 - CLUB 41 - ","ID 77","NOM 75","Prénom 53","LIC 77",1,"Chronometreur","","","NON","U17","P"
"2CAM","A","PDL0049015 - CLUB 15 - 2","PDL0049010 - CLUB 10 - 1","ID 78","NOM 76","Prénom 74","LIC 78",1,"Arbitre","(10,00Km)","37.6","NON","Seniors","P"
"2CAM","A","PDL0049015 - CLUB 15 - 2","PDL0049010 - CLUB 10 - 1","ID 60","NOM 59","Prénom 58","LIC 60",2,"Arbitre","(18,00Km)","43.68","NON","Seniors","P"
"FCAM","A","PDL0049015 - CLUB 15 - 2","PDL0049043 - CLUB 43 - 1","ID 79","NOM 77","Prénom 75","LIC 79",NA,"Officiel de Table de Marque","(47,00Km)","25","NON","Seniors","P"
"FCAM","A","PDL0049015 - CLUB 15 - 2","PDL0049043 - CLUB 43 - 1","ID 64","NOM 63","Prénom 62","LIC 64",2,"Arbitre","(33,00Km)","55.08","NON","Seniors","P"
"FCAM","A","PDL0049015 - CLUB 15 - 2","PDL0049043 - CLUB 43 - 1","ID 80","NOM 78","Prénom 76","LIC 80",NA,"Officiel de Table de Marque","(31,00Km)","25","NON","Seniors","P"
"FCAM","A","PDL0049015 - CLUB 15 - 2","PDL0049043 - CLUB 43 - 1","ID 81","NOM 79","Prénom 77","LIC 81",1,"Arbitre","(26,00Km)","49.76","NON","Seniors","P"
"1/16COUPU15M","A","PDL0049015 - CLUB 15 - 2","PDL0049069 - CLUB 69 - 1","ID 82","NOM 80","Prénom 78","LIC 82",1,"Arbitre","","","NON","U15","P"
"1/16COUPU15M","A","PDL0049015 - CLUB 15 - 2","PDL0049069 - CLUB 69 - 1","ID 83","NOM 81","Prénom 79","LIC 83",1,"Délégué de club","","","NON","U15","P"
"1/16COUPU15M","A","PDL0049015 - CLUB 15 - 2","PDL0049069 - CLUB 69 - 1","ID 84","NOM 82","Prénom 80","LIC 84",2,"Arbitre","","","NON","U15","P"
"DFU9-4-P2","D4A","PDL0049016 - CLUB 16 - ","PDL0049021 - CLUB 21 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"1/8CHAU15F","A","PDL0049016 - CLUB 16 - ","PDL0049046 - CLUB 46 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"1/16COUPU15F","A","PDL0049017 - CLUB 17 - 1","PDL0049051 - CLUB 51 - ","ID 85","NOM 83","Prénom 26","LIC 85",2,"Arbitre","","","NON","U15","P"
"1/16COUPU15F","A","PDL0049017 - CLUB 17 - 1","PDL0049051 - CLUB 51 - ","ID 86","NOM 84","Prénom 81","LIC 86",1,"Arbitre","","","NON","U15","P"
"1/16COUPU20M","A","PDL0049017 - CLUB 17 - 1","PDL0049058 - CLUB 58 - ","ID 87","NOM 70","Prénom 82","LIC 87",1,"Marqueur","","","NON","U20","P"
"1/16COUPU20M","A","PDL0049017 - CLUB 17 - 1","PDL0049058 - CLUB 58 - ","ID 88","NOM 85","Prénom 7","LIC 88",2,"Arbitre","","","NON","U20","P"
"1/16COUPU20M","A","PDL0049017 - CLUB 17 - 1","PDL0049058 - CLUB 58 - ","ID 89","NOM 86","Prénom 77","LIC 89",1,"Arbitre","","","NON","U20","P"
"1/16COUPU20M","A","PDL0049017 - CLUB 17 - 1","PDL0049058 - CLUB 58 - ","ID 90","NOM 87","Prénom 83","LIC 90",1,"Délégué de club","","","NON","U20","P"
"FCHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049032 - CLUB 32 - 4","ID 79","NOM 77","Prénom 75","LIC 79",NA,"Officiel de Table de Marque","(47,00Km)","60.72","NON","Seniors","P"
"FCHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049032 - CLUB 32 - 4","ID 63","NOM 62","Prénom 61","LIC 63",1,"Arbitre","(33,00Km)","55.08","NON","Seniors","P"
"FCHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049032 - CLUB 32 - 4","ID 60","NOM 59","Prénom 58","LIC 60",2,"Arbitre","(46,00Km)","64.96","NON","Seniors","P"
"FCHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049032 - CLUB 32 - 4","ID 80","NOM 78","Prénom 76","LIC 80",NA,"Officiel de Table de Marque","(31,00Km)","42.36","NON","Seniors","P"
"2CHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049047 - CLUB 47 - 3","ID 91","NOM 88","Prénom 58","LIC 91",2,"Arbitre","(12,00Km)","39.12","NON","Seniors","P"
"2CHAM","A","PDL0049017 - CLUB 17 - 2","PDL0049047 - CLUB 47 - 3","ID 92","NOM 89","Prénom 84","LIC 92",1,"Arbitre","(37,00Km)","58.12","NON","Seniors","P"
"1/16COUPU17M","A","PDL0049018 - CLUB 18 - ","PDL0049039 - CLUB 39 - 2","ID 93","NOM 90","Prénom 85","LIC 93",1,"Arbitre","","","NON","U17","P"
"1/16COUPU17M","A","PDL0049018 - CLUB 18 - ","PDL0049039 - CLUB 39 - 2","ID 94","NOM 91","Prénom 86","LIC 94",2,"Arbitre","","","NON","U17","P"
"1/16CHALU15F","A","PDL0049018 - CLUB 18 - ","PDL0049067 - CLUB 67 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 95","NOM 9","Prénom 9","LIC 95",1,"Arbitre","","","NON","U15","P"
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 96","NOM 9","Prénom 9","LIC 96",2,"Arbitre","","","NON","U15","P"
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 97","NOM 92","Prénom 87","LIC 97",1,"Délégué de club","","","NON","U15","P"
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 98","NOM 93","Prénom 88","LIC 98",1,"Chronometreur","","","NON","U15","P"
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 99","NOM 46","Prénom 89","LIC 99",1,"Marqueur","","","NON","U15","P"
"1-4CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049002 - CLUB 2 - 3","ID 100","NOM 94","Prénom 90","LIC 100",1,"Aide marqueur","","","NON","U15","P"
"DMU17-3","D3A","PDL0049019 - CLUB 19 - ","PDL0049048 - CLUB 48 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"1/8CAU15F","A","PDL0049019 - CLUB 19 - ","PDL0049057 - CLUB 57 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DMU11-2","D2A","PDL0049020 - CLUB 20 - 1","PDL0049065 - CLUB 65 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU11-3","D3A","PDL0049021 - CLUB 21 - ","PDL0049048 - CLUB 48 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU18-P2","D1A","PDL0049022 - CLUB 22 - ","PDL0049011 - CLUB 11 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"BU18F","A","PDL0049022 - CLUB 22 - ","PDL0049024 - CLUB 24 - ","ID 101","NOM 95","Prénom 51","LIC 101",3,"Arbitre","(61,00Km)","58.92","NON","U18","R"
"BU18F","A","PDL0049022 - CLUB 22 - ","PDL0049024 - CLUB 24 - ","ID 102","NOM 96","Prénom 91","LIC 102",2,"Arbitre","(44,00Km)","46.68","NON","U18","P"
"BU18F","A","PDL0049022 - CLUB 22 - ","PDL0049024 - CLUB 24 - ","ID 103","NOM 97","Prénom 92","LIC 103",1,"Arbitre","(34,00Km)","39.48","NON","U18","P"
"DFU13","D1A","PDL0049022 - CLUB 22 - 1","PDL0049061 - CLUB 61 - ","ID 104","NOM 98","Prénom 93","LIC 104",1,"Arbitre","","","NON","U13","P"
"DMU13","D1A","PDL0049022 - CLUB 22 - 1","PDL0049065 - CLUB 65 - 1","ID 105","NOM 99","Prénom 94","LIC 105",1,"Chronometreur","","","NON","U13","P"
"FDM3","A","PDL0049022 - CLUB 22 - 2","PDL0049044 - CLUB 44 - 1","ID 106","NOM 100","Prénom 77","LIC 106",1,"Arbitre","(36,00Km)","51.36","NON","Seniors","P"
"FDM3","A","PDL0049022 - CLUB 22 - 2","PDL0049044 - CLUB 44 - 1","ID 107","NOM 101","Prénom 95","LIC 107",2,"Arbitre","(30,00Km)","46.8","NON","Seniors","P"
